Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
202626512363,U.S. Census Bureau,U.S. Census Bureau,15359523,2786
7860876103,Joe Biden,BIDEN FOR PRESIDENT,14320700,7092
156968474833352,Stop Republicans,Stop Republicans,7917760,796
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,5577049,51986
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",3843158,32967
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,2577201,4295
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2322474,14057
20787991568,Senate Democrats,DSCC,1870383,3164
101359811498192,Cost of Chaos,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,1742896,3013
101183127996396,Four Is Enough,PACRONYM,1604518,1029
33110852384,Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),1603969,3251
73970658023,International Rescue Committee,International Rescue Committee,1541969,874
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,1527318,412
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,1488786,1614
1711465445765878,Nancy Pelosi,NANCY PELOSI FOR CONGRESS,1271106,302
106158314342739,Facts First,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,1248605,1445
9324910069,NRSC,NRSC,1222389,1138
6726182861,Mike Pence,"DONALD J. TRUMP FOR PRESIDENT, INC.",1183637,8084
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,1054269,220
11131463701,truth,TRUTH INITIATIVE FOUNDATION,1047889,598
94999047581,California Department of Public Health,California Department of Public Health,1036987,142
108824017345866,Facebook,"Facebook, Inc.",999945,5
25055115099,Intuit,INTUIT INC.,992424,1789
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,981109,2056
1883837055193241,Shield Republic,Shield Republic,947703,17041
105756057589080,The Lincoln Project,The Lincoln Project,921724,190
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,909831,128
1316372698453411,Alexandria Ocasio-Cortez,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,889757,7047
206623622690681,NYC Department of Health and Mental Hygiene,New York City Department of Health and Mental Hygiene,832678,106
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",831710,4607
7976226799,The Daily Show,Comedy Central,819949,900
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,817313,1354
127225910653607,PragerU,PragerU,804561,1290
101617224555221,Nancy Pelosi Elects Democrats,PAC TO THE FUTURE,795350,534
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,791567,10447
107858693983382,The GOP Shop,The GOP Shop,774058,469
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,755143,454
196382377057315,Learn Our History,Learn Our History,743323,405
124955570892789,Bernie Sanders,BERNIE 2020,727594,1169
92925746942,Judicial Watch,Judicial Watch,726493,975
1449461518652183,4Patriots,4Patriots LLC,695925,724
110749446963570,Courier,Courier Newsroom,680684,424
1771156219840594,Team Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",676032,6451
1593518174052711,Candace Owens,Candace Owens LLC,673579,252
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,647394,1450
101181794707874,United Research Group,United Research Group,627095,6509
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,624012,891
2352630938293825,Mytacticalpromos,Entremax,618464,196
332716170522025,America First Action,America First Action,592652,3575
236369846383459,Congressional Black Caucus PAC,Congressional Black Caucus PAC,591056,224
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",580911,1514
55549065733,Voto Latino,VOTO LATINO INC.,578756,3875
7814597100,Jim Jordan for Congress,JIM JORDAN FOR CONGRESS,560686,656
602714436529710,End Citizens United,END CITIZENS UNITED,558427,300
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,548667,1815
111182343682003,Certified CCW,CertifiedCCW.com,539886,114
228754857151053,House Majority PAC,House Majority PAC,536558,134
260754507296508,The Voter Participation Center,Voter Participation Center,527867,13166
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,520979,211
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,520130,1238
18982436812,ACLU,American Civil Liberties Union,518777,1176
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,511468,2788
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,504512,105
302182941354,AARP Advocates,AARP,501005,243
1025055787535714,A Case for Women,A Case for Women,498766,246
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",497655,245
6204742571,Sierra Club,SIERRA CLUB,496028,1151
121388362246,Goldman Sachs,Goldman Sachs & Co.,489173,169
200650357207240,I Love My Freedom,I Love My Freedom,484702,1671
151485624911761,NYC Mayor's Office,City of New York,437095,3775
157546398049625,Marsy's Law for Wisconsin,"Marsy’s Law for Wisconsin, LLC",433930,39
133666160060982,Senate Majority PAC,SMP,428020,106
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,425378,5130
107118184262556,North Carolina Before Party,Priorities USA and Majority Forward,423144,71
102711087850827,Hablemos Claro USA,Priorities USA,421515,600
174009339411865,SmartNews,"SmartNews International, Inc.",408483,67767
19972147679,SEIU,SEIU,404727,1041
425408274980132,Let's Be Honest,Priorities USA,404407,894
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,399892,563
107803807306401,Michigan Census,Michigan Census 2020,391896,310
25852730092,Care2,Care2 Inc,388228,983
101210588150219,Boy Scouts Abuse Claims,X Social Media LLC,385951,1135
116534199732974,USA Carry Online,USA Carry Online,384617,167
29727753421,New Jersey Education Association,NEW JERSEY EDUCATION ASSOCIATION,383612,194
950998258312654,Knowhere,"Knowhere, Inc.",381691,662
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,378728,1702
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",370292,357
158791100909689,Concerned Veterans for America,Concerned Veterans for America,367125,233
2037695643113766,Blexit,Blexit Foundation,366660,495
203197030603239,8 Billion Trees,8 Billion Trees LLC,366554,178
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,359815,359
345504286342057,Keeping America Great Again,RightWingGear.com,356573,74
1487587521541634,President Donald Trump Fan Club,I Love My Freedom,351871,613
203805062990264,Ben Shapiro,The Daily Wire,350630,294
309308412520731,Sandy Hook Promise,Sandy Hook Promise,348009,1105
167586229923327,World Food Program USA,World Food Program USA,344745,995
171287339973880,LCV Victory Fund,"LCV Victory Fund, 202-785-8683, and Priorities USA Action, 202-455-8428, and not authorized by any candidate or candidate’s committee.",340553,677
11791104453,NRDC,Natural Resources Defense Council,335514,939
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,334605,811
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,330238,84
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,324866,2231
560140464159364,Stand for the 2nd Amendment,SFT2 Tactical Supply,323911,90
105732744375701,Steve Bullock,Montanans for Bullock,315897,2000
109784800371914,Protect Kids: Fight Flavored E-Cigarettes,TOBACCO-FREE KIDS ACTION FUND,313644,929
105260117709688,California Labor and Workforce Development Agency,California Department of Public Health,311475,10
107953199261156,ifaw,"INTERNATIONAL FUND FOR ANIMAL WELFARE, INC.",308136,535
1374134752633656,New Health Plans,Shop Insurance Plans,306996,211
27311599342,Preemptive Love,Preemptive Love Coalition,305908,71
105783027731211,A Better Arizona,Priorities USA and Majority Forward,304108,134
246323280108,American Medical Association (AMA),American Medical Association,302643,28
72186095846,Center For American Progress Action Fund,Center for American Progress Action Fund,301080,147
104934207736995,Paycheck to Paycheck,Center for American Progress Action Fund,301020,204
156994304362574,American Bridge,AMERICAN BRIDGE 21ST CENTURY,300148,808
120551431317,Nickelodeon,Nickelodeon with Facebook Ad Credits,300000,17
8047221596,Save the Children US,"SAVE THE CHILDREN FEDERATION, INC.",299474,613
717115395103069,PrintedKicks,Printed Kicks,298023,270
17911165812,Covenant House International,Covenant House,297922,1510
1676291615740480,Rental Affordability Act,Homeowners and Tenants United,295161,1756
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,293460,54
168051710543266,Lacy Johnson,Lacy Johnson for Congress,288903,218
69039563201,Open Doors USA,"OPEN DOORS WITH BROTHER ANDREW, INC.",285597,645
81517275796,UNICEF USA,UNITED STATES FUND FOR UNICEF,281760,559
256304286535,UPMC,UPMC,276683,132
114710126648118,Republican Dogs,Republican Dogs,276358,3757
305832706292882,American Gun Association,GunAssociation.org,270544,362
116546288359245,Heritage Action for America,HERITAGE ACTION FOR AMERICA,264370,741
85452072376,Newsmax,Newsmax Media,264104,88
314499212242,Pfizer,Pfizer Inc.,262648,191
571182609571332,NextGen America,NEXTGEN CLIMATE ACTION COMMITTEE,262305,2104
7483836629,Ancestry,Ancestry.com Operations Inc.,258773,42
5435784683,Greenpeace USA,"GREENPEACE, INC.",258436,1207
461204744067686,Family Protection Association,Family Protection Association,255765,270
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,248535,1892
30139072158,CARE,CARE,244448,408
213792049451918,Stand For America,Stand For America Inc,242351,242
101908424664094,Best Home Savers 2020,J D Grace Gorospe,241014,723
107483817554072,WorkMoney,WorkMoney Inc,239244,371
281844617168,Jewish Voice Ministries International,JEWISH VOICE MINISTRIES INTERNATIONAL,237750,750
605168822998856,314 Action,314 ACTION FUND,236941,255
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,235413,50
530604487365010,Old Glory Flagpole Kits,Service First Flag Poles,231883,163
580610428636345,Fight for $15,Fight for $15,228790,585
1435071773455316,Daily Wire,The Daily Wire,228392,481
114392709950055,AZ Census 2020,AZ Census 2020,228336,531
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,227631,599
106244251043808,Reuse Plastics,"AMERICAN CHEMISTRY COUNCIL, INC.",227548,792
8325302025,Friends of the Earth U.S.,Friends of the Earth,226335,300
681626158940626,Mission Roll Call,Americas Warrior Partnership,225237,250
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,224633,843
347978955534783,Solcius,Solcius,224407,2330
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,223011,314
261663760956534,America First Policies,America First Policies Inc,220094,470
1934191280189700,Health Care Voter,Health Care Voter,217453,1378
833845080319275,The Daily Patriot,Full Tilt Holdings LLC,215056,55
169130743498585,Tactical Pro Supply,Chad Keller,212556,180
21492729544,Catholic Relief Services,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,212309,771
109097990639753,Unite for Colorado,Unite for Colorado,211446,144
67945990059,The American Petroleum Institute,AMERICAN PETROLEUM INSTITUTE,208159,3070
132492254050920,American AF,AAF Nation,207819,228
627288151114676,Organization Abuse,X Social Media LLC,206896,139
551328948361758,For Our Future WI,For Our Future Action Fund,200851,457
106667474170866,A Better Wisconsin Together,"A Better Wisconsin Together, Inc.",200269,428
15188122178,The Hamilton Collection,The Hamilton Collection,199678,64
119746614730099,Reliant Energy ®,"Reliant Energy Retail Services, LLC",199559,262
2283535575207809,Ditch Mitch,DITCH FUND,199289,128
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,198989,211
237788366660686,Tax March,Tax March,198855,313
139599847972,National Nurses United,BE A HERO PAC,197930,241
215968684159,AFT - American Federation of Teachers,American Federation of Teachers,196457,172
209516845093,NRDC Action Fund,NRDC Action Fund,195756,1132
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,195635,3967
18479402361,No Kid Hungry,No Kid Hungry,194521,3495
169294473121454,Policetees.com,PoliceTees.com,194308,2008
104902061111847,A Better Wisconsin Together Political Fund,A Better Wisconsin Together Political Fund,193397,207
110382887228216,Organizing Together 2020,We Americans Can Fund,193325,787
181183059253295,Dorsal Bracelets,Dorsal Bracelets,192438,146
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",189694,501
6713653788,Gary Peters,PETERS FOR MICHIGAN,188837,435
110130647164439,Tonight's News,Ibrahim Oloko,187968,533
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,187611,1470
139599847972,National Nurses United,National Nurses United,187001,355
293225127381200,Patriot Depot,The Patriot Depot,186192,292
260366367717440,Committee to Protect Medicare,Committee to Protect Medicare PAC,184960,637
134705859885321,Unilever,Unilever,184068,5
23875187730,Feeding America,Feeding America,183797,543
1194865807192273,Conservative Gear,Outergoods LLC,183777,870
393932827634250,Dissent Pins,Common Practice,183112,441
410353089720802,Santa Clara County - Office of the Census,"County of Santa Clara, Office of the Census",180414,27
6500552187,Hulu,"HULU, LLC",178079,38
373814729643508,Let America Vote,LET AMERICA VOTE PAC,177923,278
115379705206001,U.S. Department of Homeland Security Blue Campaign,DHS Blue Campaign,177274,366
22877548156,Earth Day Network,EARTH DAY NETWORK INC,175002,346
118502801658228,Young Kim,Young Kim for Congress,171548,78
291787634202205,Illinois Department of Human Services,Illinois Department of Human Services,171414,3785
383877235817031,Keep America Great,Keep America Great,170033,130
6985452607,Brita USA,The Clorox Company,169412,14
350316025478383,When We All Vote,When We All Vote,169270,365
56680318666,Illinois Policy,Illinois Policy,168963,234
277005566267077,Blueland,Blueland,167549,105
834450733337383,ClassAction.com,Alyssa Nicole Bambrick,165485,39
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC.",165281,617
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,161036,822
2078647579047586,Project Pulso,Project Pulso,160872,674
21896798120,Progress Michigan,PROGRESS MICHIGAN,160568,3216
49651563727,Live Action,Live Action,160178,265
242077219243971,The Presidential Coalition,The Presidential Coalition,159826,112
321250352104571,Valerie Plame,VALERIE PLAME FOR CONGRESS,159340,295
100137754724934,Trump 2020 Supporters,Proud Right Winger,158991,159
57259033959,AARP,AARP,157780,1874
112041183486666,Project Sunshine,ACRONYM,156909,359
20876805343,March of Dimes,MARCH OF DIMES INC.,155481,432
1688725768007141,Michelle Caruso-Cabrera,CARUSO-CABRERA FOR NEW YORK,155253,115
95356211637,Ben Ferguson,Ben Ferguson show,154763,156
271991555961,American Ambulance Association,"American Ambulance Association, Inc",154478,50
2353537341582545,Proud Patriots,"Unicorn Wealth, LLC",153900,648
109742407314234,Restoration Action,Restoration Action,153469,455
27544763621,Prison Fellowship,Prison Fellowship,153001,760
113697513378680,Clean Energy Matters,Clean Energy Matters,152486,64
1864721517082089,Democratic Attorneys General Association,Democratic Attorneys General Association,152405,17
1145019702185006,Alliance for Safety and Justice,Alliance for Safety and Justice,151108,79
253791814655400,Doug Collins,"COLLINS FOR SENATE, INC.",150499,776
834645469890446,Devin Nunes,DEVIN NUNES CAMPAIGN COMMITTEE,150311,83
1600352356914768,PushBlack,PushBlack,149848,459
121626482110,Operation Smile,"OPERATION SMILE, INC.",149039,277
328853823844484,Balance of Power,Balance of Power,148993,294
17023576156,The Leadership Conference on Civil and Human Rights,The Leadership Conference on Civil and Human Rights,148602,176
743016619178814,Save My Care,Save My Country Action Fund,148516,13
8501031021,VoteVets.org,"VoteVets Action Fund, Inc.",148168,137
107589664099282,Stand Up To China,"Stand Up To China, Inc.",147528,211
2602473023098666,Democratic Polling Center,Democratic Governors Association,146762,125
104006944272732,Honest Arizona,Advancing AZ,145123,107
221890358218748,Til Valhalla Project,Til Valhalla Project,143521,729
10461186460,Ben & Jerry's,"BEN & JERRY'S HOMEMADE, INC.",143408,67
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",142856,174
136180176422660,America Votes,AMERICA VOTES,142350,134
305380096638473,Charles Booker,BOOKER FOR KENTUCKY,141953,878
169130470583214,Demand Justice,Demand Justice,141598,188
106888260932693,Fair Census Project,RESOURCES LEGACY FUND,141371,2028
36474716066,Color Of Change,ColorofChange.org,140719,93
292351509697,Jerusalem Prayer Team,Jerusalem Prayer Team,140574,213
100145544831970,Opportunity Wisconsin,Opportunity Wisconsin,140521,46
15687409793,World Wildlife Fund,World Wildlife Fund,140486,394
112942500238297,Trees4Australia,Trees4Australia,139645,1676
586751814690068,Joni Ernst,Joni for Iowa,139575,144
6231686654,Compassion International,"COMPASSION INTERNATIONAL, INCORPORATED",139420,1050
114501575391943,Compare Medicare Quotes,Benepath,139010,13
19972147679,SEIU,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),138675,1846
294196590710262,FWD.us,FWD.us,134313,517
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),134044,578
110177119192569,Knightscope,William Li,133483,82
237105299784007,Our Health California,Our Health California,131028,140
132066233534659,Healthcare Education Project,Healthcare Education Project,130090,80
104851617686932,Concealed Country,Concealed Country,128588,454
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,127836,282
1596671280578981,Schools & Communities First,Schools and Communities First,127291,83
296708523873754,Karla Dennis and Associates Inc.,"Karla Dennis & Associates, Inc",126870,257
555787351119974,Coalition to Protect America's Health Care,Coalition to Protect America's Health Care,125987,27
109021767293838,Making Retirement Last,Making Retirement Last,125687,149
706716899745696,Women for Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",125214,1378
36474716066,Color Of Change,COLOROFCHANGE.ORG,123781,362
21834534343,Volunteers of America,"VOLUNTEERS OF AMERICA, INC.",123525,476
7263476274,Mercy Corps,Mercy Corps,122993,598
159616034235,Walmart,WALMART INC.,121053,65
1765073800454902,Reform Austin,Reform Austin Inc.,120899,1202
51057276745,Michigan Department of Health and Human Services,Michigan Department of Health and Human Services,120150,255
153053554728336,iShares,"BLACKROCK, INC.",120000,76
101724361319410,Ronny Jackson for U.S. Congress TX-13,Texans for Ronny Jackson,119247,613
779918582197020,Leadership MKE,Leadership MKE,119155,330
106241024214152,American Home Life Periodical,Steven Luu Nguyen,118779,717
344690446467832,The Copper Courier,Courier Newsroom,117948,219
21455818797,Feed the Children,"FEED THE CHILDREN, INC.",117219,334
77852784853,Absolut,Pernod Ricard USA,116979,10
108342997437676,Perise Practical,Perise Practical INC,116941,13
245284549333866,ASMDSS,ASMDSS,114762,77
219612384781411,Bloomberg Philanthropies,Bloomberg Philanthropies,114681,159
1069086753291099,Long Term Care Advocacy Project,Long Term Care Advocacy Project,114625,30
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",114185,40
15041226930,Oxfam,"OXFAM AMERICA, INC.",113557,323
43287633515,Alliance for Climate Education,Alliance for Climate Education,113061,418
250058722279283,ReSet WV,ReSet WV PAC,112767,206
102595498024546,MN vs Trump,Alliance for a Better Minnesota Federal PAC,112457,3465
76625396025,CDC,Centers for Disease Control and Prevention (CDC) with Facebook ad credits,112338,2
6165653060,AFSCME,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,112111,279
110431480477073,Fair and Equal Michigan,Fair and Equal Michigan,112048,193
385473284886474,Hillsdale College,HILLSDALE COLLEGE,112027,420
389002298352371,American Senior Benefits,John M Davis,111270,950
201248453800242,My Pay My Say,Mackinac Center for Public Policy,111205,17
1479923688811438,Geothermal,Geothermal Exchange Organization,110422,61
105594977748727,Maine Together,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,110267,57
159642604122810,California Community Colleges,California Community Colleges Chancellor's Office,110126,119
118303441570966,Home Ownership Matters,NATIONAL ASSOCIATION OF REALTORS,109648,132
6279167307,Easterseals,Easterseals,109612,128
373309922717773,Indiana Secretary of State Connie Lawson,Indiana Secretary of State,109510,866
103983379801,Texas Democratic Party,Texas Democratic Party,107659,1082
103837514635067,Betterway Campaign,WAYMAKERS,107601,36
1836138529938551,Greater Half,Greater Half,107409,1594
193618220508,LIFE Today,LIFE Outreach International,107318,75
1884107931849913,Republicans for the Rule of Law,Defending Democracy Together,106946,134
111428049989,Cal Cunningham,CAL FOR NC,106890,1378
8934429638,Planned Parenthood Action,Planned Parenthood Votes,106599,123
2267405033373814,Doctor Patient Unity,Doctor Patient Unity,106075,186
408250066356,Bill O'Reilly,"Bill Me, Inc.",105300,22
1099478666810053,Meals For Pets,Meals for Pets,104990,2350
106736034281444,This Place People Together,Lucy  Tran,104444,476
598924810530984,Keeping America Great,FamTeeWorld,103792,12
94047978366,PCCC - BoldProgressives.org,PROGRESSIVE CHANGE CAMPAIGN COMMITTEE,103465,175
28896772146,San Diego Zoo,ZOOLOGICAL SOCIETY OF SAN DIEGO,102989,110
419237048158257,Susan Collins,COLLINS FOR SENATOR,102749,111
2524348974282124,Piedmont Rising,Piedmont Rising,102422,45
100863158148988,Commonwealth Communications,Commonwealth Communications,102422,546
1878332172410716,Be SMART for Kids,Everytown for Gun Safety Support Fund Inc,101980,8
143329509024,Citizens Against Lawsuit Abuse,Citizens Against Lawsuit Abuse,101906,703
17203056985,Partners In Health,Partners In Health,101384,1012
69983322463,Ted Cruz,TED CRUZ FOR SENATE,101339,39
107925603976843,Protect App-Based Drivers & Services,"Protect App-Based Drivers and Services, a Coalition of On-Demand Drivers and Network Companies, Small Businesses, Community Groups and Public Safety Organizations. Committee major funding from: Lyft, Uber Technologies, DoorDash",100971,63
244752722204442,NALEO Educational Fund,NALEO Educational Fund,100620,122
820882001277849,Coca-Cola,The Coca-Cola Company with Facebook ad credits,100000,2
112723367025798,Chicago Census 2020,City Of Chicago,99807,21
7833534974,Florida Democratic Party,Florida Democratic Party,99120,146
622035304631062,Cox for Governor,Cox for Governor,98181,582
263964726952673,NYC Votes,New York City Campaign Finance Board,98096,215
110022477032429,Mike Franken,FRANKEN FOR IOWA,97376,118
103682110993833,Arctic Refuge Defense Campaign,Alaska Wilderness League,96913,42
104074991111025,Last Minute Updates,Rickey Laquan Calvin,96778,288
162676813937511,Dan Forest,Committee to Elect Dan Forest,96272,354
201470373308396,BMO Harris Bank,BMO Harris Bank,95594,11
6236054211,Brady,Brady Campaign to Prevent Gun Violence,95230,113
140499052681592,Bank of the West,BANK OF THE WEST,95002,59
21559454473,FAIR,FEDERATION FOR AMERICAN IMMIGRATION REFORM,94828,56
1438808983108348,BOLD PAC,CHC BOLD PAC,94655,197
46093654473,National Republican Congressional Committee,NRCC,94390,206
101383508020332,Flexhealthplan,FlexHealthPlan,93496,219
253153019746,Eric Greitens,Greitens for Missouri,93161,35
19812849944,United Food and Commercial Workers International Union,United Food and Commercial Workers International Union,93025,160
227711697580501,Healthy Me PA,The Hospital and Healthsystem Association of Pennsylvania,92898,100
709046012792616,National Audubon Society Action Fund,National Audubon Society Action Fund,92231,210
100562019990818,U.S. Term Limits,U.S. Term Limits Inc.,92202,302
1447994318779650,AirMedCare Network,AIrMedCare Network,92169,50
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,91873,468
112621057029615,Stay Home Save Lives,"Stay Home, Save Lives",91691,134
2232703636981919,California Department of Aging,California Department of Aging,90000,14
1690071827911682,Cleancult,cleancult,89902,459
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",89471,1022
126575267904438,Love Beauty and Planet,Unilever,88783,11
328633577711956,Alabama Counts,AL Census 2020,88771,364
100256754899828,Patriot's Cave,Patriots Cave,88649,243
355294377918872,American Federation for Children - Arizona Chapter,American Federation for Children,88610,332
202851657003895,We Are PA,The Story of Us,88286,224
2185993931653388,The Recount,"Recount Media, Inc",88076,618
2012750189007245,Liquid Death Mountain Water,Liquid Death,87238,191
459890014763287,Rocky Mountain Values,Rocky Mountain Values,87229,175
71966175060,NC Policy Watch,NC Policy Watch,87096,225
700806360047982,CFG Action,Club for Growth Action,86860,140
361414127262034,Maryland State Board of Elections,Maryland State Board of Elections,86515,87
117641114435,First Aid Beauty,First Aid Beauty,86351,72
683872625157265,Theresa Greenfield,THERESA GREENFIELD FOR IOWA,86110,470
104325844436320,US Dollar Reports,US Dollar Reports,86036,66
109194237204315,Huntsman 2020,Huntsman 2020,85572,634
113842443643787,QuickConcealed,QuickConcealed.com,85555,31
329272720965256,GALvanize USA,GALvanize USA,85180,2007
38471053686,Elizabeth Warren,"WARREN DEMOCRATS, INC.",84039,373
83290028957,Care Net,CARE NET,83324,410
8291852604,Tobacco Free Florida,Florida Department of Health Bureau of Tobacco Free Florida,83089,88
105929991030423,My Freedom Jersey,"My Freedom Jersey, LLP",82855,1397
166618413413767,Jay Sekulow,American Center for Law and Justice,82093,65
1394539157425140,First Lady Chirlane McCray,City of New York,81737,53
680549575421741,UnitedVoice.com,"Beachside Media, Inc.",81732,65
465483726908192,iVote,IVote Civic Education Fund,81567,134
679171239164792,Supermajority,Supermajority Education Fund,81147,625
142992759853421,Be A Hero,BE A HERO PAC,80940,981
210820618956311,Community Change Action,Center for Community Change Action,80756,243
8532248414,Wounded Warrior Project,"WOUNDED WARRIOR PROJECT, INC.",80548,94
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",80332,17
109679290004,Los Angeles Regional Food Bank,LOS ANGELES REGIONAL FOOD BANK,80288,165
19746387261,Humane Society International,Humane Society International,80045,86
109365394053302,CA-25 Voters for Common Sense,DCCC. (202) 863-1500. Not authorized by any candidate or candidate’s committee.,80000,90
312130646398669,Georgia Recorder,Georgia Recorder,79922,107
1419480864851393,Arizona Mirror,Arizona Mirror,79465,118
377392172830318,Representative Ross Spano,Office of Representative Ross Spano,79253,144
1917715138510680,Follow Your Legend,Legend Bracelet,78535,1059
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,78464,91
110061623807565,Kelly Loeffler,Georgians for Kelly,77978,513
102592959026,Ocean Conservancy,"OCEAN CONSERVANCY, INC.",77959,658
1037157259782946,Colorado Way,The Story of Us,77626,176
2264090133834042,Invite Research,Precision Network,77470,375
143986912311328,University of Vermont Continuing and Distance Education,University of Vermont,77294,562
342887442508723,Convention of States,Convention of States Action,76993,48
130467958471,Jason Lewis,Jason Lewis for Senate,76853,133
830289696991749,THE FACTS NOW,Florida Department of Health Bureau of Tobacco Free Florida,76626,89
111970730196550,World War Zero,AMERICAN SECURITY PROJECT,76468,357
1745691098822972,Brad Parscale,"DONALD J. TRUMP FOR PRESIDENT, INC.",76387,712
1799282383731277,TwoSeventy,Alexander Jared Deutsch,76327,122
14440196673,Teamsters,INTERNATIONAL BROTHERHOOD OF TEAMSTERS,75864,94
300992409852,Hoover Institution,Hoover Institution,75592,546
107761702578379,American Institute for Cancer Research - AICR,American Institute for Cancer Research,74791,195
582170821830199,OhmConnect,"OhmConnect, Inc.",74565,51
475456956305422,All Voting Is Local,The Leadership Conference on Civil and Human Rights,74407,31
102389457864860,Treehuggers Bracelets,ECOMX LLC,74217,330
108118933908193,Next Level Goods,Next Level Goods LLC,74121,450
1055873511190792,Hello Resistance,Hello Resistance Apparel,74008,38
106991060749369,OneALASKA,OneAlaska,73870,160
100666038243915,True American Patriot,Gold Sky Ventures LLC,73750,419
22085921165,Mayor Bill de Blasio,City of New York,73251,29
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,72217,128
8492293163,Environmental Defense Fund,Environmental Defense Fund,71860,1226
198899403470180,Massachusetts Right to Repair Coalition,Mass Right To Repair Committee,71476,32
416991872213134,Iowa Voices,Iowa Forward,71426,16
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",71126,569
112694470356789,Trumpcare For America,Stuart Joseph Millar,70962,903
171287339973880,LCV Victory Fund,"LCV Victory Fund, 202-785-8683, and not authorized by any candidate or candidate’s committee",70902,83
431099560800970,Front Page Live,"Front Page Live, Inc.",70508,3522
